name,scientific name,size,difficulty,min. Tank size,specific gravity,PH,temperature,water hardness,stocking ratio,diet,life span,origin,family
Panda Apisto (,Apistogramma panduro,"4.1-5.1cm (1.6-2  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.0 - 7.0
","23 -28  °C (73.4-82.4°F)
","1-5 °d
","1:1 M:F
",Omnivore,"3-5 years
",South America,"Cichlidae
"
Obscure Snakehead (,Parachanna obscura,"45-50  cm (17.7-19.7"")
",Moderate,"644 Litres (170   US G.)
","Freshwater  
","6.5 - 7.5
","26 -28  °C (78.8-82.4°F)
","6-16 °d
","1:1 M:F
",Carnivore,"8-12 years
",Africa,"Channidae
"
Armor Bill Tetra (,Phago loricatus,"14-16  cm (5.5-6.3"")
",Challenging,"132 Litres (35   US G.)
","Freshwater  
","6.0 - 7.2
","22 -27  °C (71.6-80.6°F)
","8-15 °d
","1:2 M:F
",Omnivore,"3-6 years
",Africa,"Distichodontidae
"
African Pike-Characoid (,Hepsetus odoe,"60-70  cm (23.6-27.6"")
",Challenging,"946 Litres (250   US G.)
","Freshwater  
","6.0 - 7.5
","26 -28  °C (78.8-82.4°F)
","10-18 °d
","1:1 M:F
",Carnivore,"3-5 years
",Africa,"Hepsetidae
"
Red Eyed Tetra (,Arnoldichthys spilopterus,"9-10  cm (3.5-3.9"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 8.0
","23 -28  °C (73.4-82.4°F)
","5-19 °d
","1:2 M:F
",Omnivore,"5-10 years
",Africa,"Alestidae
"
African Shovelnose Catfish (,Parauchenoglanis loennbergi,"15.2-25.4cm (6-10  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.5 - 7.5
","22.2-25.6°C (72 -78  °F)
","8-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",Africa,"Claroteidae
"
Adonis Tetra (,Lepidarchus adonis,"1.5-2.1  cm (0.6-0.8"")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","5.8 - 6.5
","22 -26  °C (71.6-78.8°F)
","4-8 °d
","2:3 M:F
",Omnivore,"2-5 years
",Africa,"Alestidae
"
Leopard Ctenopoma (,Ctenopoma acutirostre,"12.7-20.3cm (5-8  "")
",Moderate,"189 Litres (50   US G.)
","Freshwater  
","6.5 - 8.5
","22.8-27.8°C (73 -82  °F)
","6-20 °d
","1:1 M:F
",Carnivore,"5-8 years
",Africa,"Anabantidae
"
African Pike-Characoid (,Hepsetus odoe,"60-70  cm (23.6-27.6"")
",Challenging,"946 Litres (250   US G.)
","Freshwater  
","6.0 - 7.5
","26 -28  °C (78.8-82.4°F)
","10-18 °d
","1:1 M:F
",Carnivore,"3-5 years
",Africa,"Hepsetidae
"
African Peacock Cichlid (,Aulonocara nyassae,"7-9  cm (2.8-3.5"")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","7.5 - 8.0
","23 -25  °C (73.4-77°F)
","8-18 °d
","1:1 M:F
",Carnivore,"5-8 years
",Lake Malawi,"Cichlidae
"
Long-Finned Characin (,Brycinus longipinnis,"10.2-12.7cm (4-5  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 8.0
","21.7-25.6°C (71 -78  °F)
","6-13 °d
","1:2 M:F
",Omnivore,"3-5 years
",Africa,"Alestidae
"
African Leaf Fish (,Polycentropsis abbreviata,"7.5-8  cm (3-3.1"")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","6.0 - 6.5
","23.9-26.7°C (75 -80  °F)
","5-12 °d
","1:1 M:F
",Carnivore,"3-5 years
",Africa,"Nandidae
"
African Moon Tetra (,Bathyaethiops caudomaculatus,"6-8  cm (2.4-3.1"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.3 - 7.3
","23 -27  °C (73.4-80.6°F)
","5-12 °d
","1:2 M:F
",Omnivore,"3-5 years
",Africa,"Alestidae
"
Seba Mono (,Monodactylus sebae,"20-25  cm (7.9-9.8"")
",Moderate,"568 Litres (150   US G.)
", - ,"7.5 - 8.2
","24 -28  °C (75.2-82.4°F)
","6-16 °d
","1:2 M:F
",Omnivore,"5-8 years
",Eastern Atlantic,"Monodactylidae
"
African Glass Catfish (,Pareutropius buffei,"5.1-7.6cm (2-3  "")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.5 - 7.5
","23 -26  °C (73.4-78.8°F)
","4-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",Africa,"Schilbeidae
"
Black Widow tetra (,Gymnocorymbus ternetzi,"2.5-5.1cm (1-2  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 8
","20-26.1°C (68 -79  °F)
","8-12 °d
","1:2 M:F
",Omnivore,"5-6 years
",South America,"Characidae
"
Colombian Tetra (,Hyphessobrycon ecuadoriensis,"3-4  cm (1.2-1.6"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 7.0
","23 -28  °C (73.4-82.4°F)
","5-8 °d
","1:2 M:F
",Omnivore,"5-8 years
",South America,"Characidae
"
Umbee (,Caquetaia umbrifera,"45.7-61cm (18-24  "")
",Challenging,"946 Litres (250   US G.)
","Freshwater  
","7.0 - 7.9
","19 -28  °C (66.2-82.4°F)
","1-5 °d
","1:2 M:F
",Carnivore,"5-12 years
",South America,"Cichlidae
"
Electric Yellow Cichlid (,Labidochromis caeruleus,"10-13  cm (3.9-5.1"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","7.5 - 8.6
","22 -28  °C (71.6-82.4°F)
","10-15 °d
","1:3 M:F
",Carnivore,"6-8 years
",Lake Malawi,"Cichlidae
"
Irvinei Cichlid (,Steatocranus irvinei,"15.2-19.1cm (6-7.5  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.0 - 7.5
","24 -28  °C (75.2-82.4°F)
","6-16 °d
","1:1 M:F
",Carnivore,"5-8 years
",Africa,"Cichlidae
"
Blue-Eyed Red Fin Pleco (,Hypostomus soniae,"25.4-27.9cm (10-11  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","5.6 - 7.0
","23.9-27.8°C (75 -82  °F)
","2-20 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Loricariidae
"
Bandit Cichlid (,Guianacara geayi,"7.9-8.9cm (3.1-3.5  "")
",Moderate,"132 Litres (35   US G.)
","Freshwater  
","6.0 - 7.0
","22 -25  °C (71.6-77°F)
","6-16 °d
","1:3 M:F
",Omnivore,"5-8 years
",South America,"Cichlidae
"
Brine shrimp,,,,,,,,,,,,,
Blue-Eyed Pleco (,Panaque suttonorum,"20.3-22.9cm (8-9  "")
",Moderate,"151 Litres (40   US G.)
","Freshwater  
","6.2 - 7.5
","20-23.9°C (68 -75  °F)
","4-15 °d
","1:1 M:F
",Omnivore,"8-12 years
",South America,"Loricariidae
"
African Spotted Gourami,,,,,,,,,,,,,
Ghost Shrimp (,Palaemonetes paludosus,"5.1-7.6cm (2-3  "")
",Easy,"19 Litres (5   US G.)
", - ,"7.0 - 8.0
","20 -29  °C (68-84.2°F)
","3-10 °d
","1:1 M:F
",Omnivore,"1-2 years
",,
African Red-Eyed Characin,,,,,,,,,,,,,
African Shovelnose Catfish,,,,,,,,,,,,,
Category:Habitat Eastern Atlantic - Fish,,,,,,,,,,,,,
African Tetra,,,,,,,,,,,,,
Category:Tetras,,,,,,,,,,,,,
Category:Loach,,,,,,,,,,,,,
Oscar (,Astronotus ocellatus,"25.4-40.6cm (10-16  "")
",Moderate,"284 Litres (75   US G.)
","Freshwater  
","6.2 - 7.5
","22.2-25°C (72 -77  °F)
","6-10 °d
","1:1 M:F
",Piscivore,"6-12 years
",South America,"Cichlidae
"
African Glass Catfish,,,,,,,,,,,,,
Blue-Barred Pygmy Sunfish (,Elassoma okatie,"3-4  cm (1.2-1.6"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.5 - 7.5
","10 -23  °C (50-73.4°F)
","6-16 °d
","1:1 M:F
",Omnivore,"5-8 years
",North America,"Elassomatidae
"
Tbp,,,,,,,,,,,,,
Catfish pellets,,,,,,,,,,,,,
African Moony,,,,,,,,,,,,,
African Leaf Fish,,,,,,,,,,,,,
Blue-Eyed Red Fin Pleco,,,,,,,,,,,,,
Blue-Lipped Blockhead,,,,,,,,,,,,,
Flake food,,,,,,,,,,,,,
African Moon Tetra,,,,,,,,,,,,,
Ghost Shrimp (,Palaemonetes paludosus,"5.1-7.6cm (2-3  "")
",Easy,"19 Litres (5   US G.)
", - ,"7.0 - 8.0
","20 -29  °C (68-84.2°F)
","3-10 °d
","1:1 M:F
",Omnivore,"1-2 years
",,
Sodium bicarbonate,,,,,,,,,,,,,
Artemia,,,,,,,,,,,,,
Blue-Eyed Pleco,,,,,,,,,,,,,
Brine shrimp,,,,,,,,,,,,,
Category:Live Food,,,,,,,,,,,,,
Platy (,Xiphophorus maculatus,"5.1-6.4cm (2-2.5  "")
",Easy,"45 Litres (12   US G.)
","Freshwater  
","7.0 - 8.0
","22.2-26.7°C (72 -80  °F)
","7-20 °d
","1:3 M:F
",Omnivore,"3-5 years
",Central America,"Poeciliidae
"
Ghost Shrimp,,,,,,,,,,,,,
Category:Habitat North America - Fish,,,,,,,,,,,,,
Fish Fins ID,,,,,,,,,,,,,
Heximita,,,,,,,,,,,,,
Spotted Pimelodus (,Pimelodus pictus,"10.2-27.9cm (4-11  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","5.8 - 7.0
","21.7-25°C (71 -77  °F)
","5-12 °d
","1:2 M:F
",Omnivore,"8-10 years
",South America,"Pimelodidae
"
Fish Fins ID,,,,,,,,,,,,,
Category:Squeaker Catfish,,,,,,,,,,,,,
Flake Food,,,,,,,,,,,,,
Oscar,,,,,,,,,,,,,
Bluebarred Pygmy Sunfish,,,,,,,,,,,,,
Category:Algae,,,,,,,,,,,,,
Pellet Food,,,,,,,,,,,,,
Category:Cichlids,,,,,,,,,,,,,
Tbsp,,,,,,,,,,,,,
Brine Shrimp,,,,,,,,,,,,,
General Hardness,,,,,,,,,,,,,
Tsp,,,,,,,,,,,,,
Glass Shrimp,,,,,,,,,,,,,
Bicarbonate of soda,,,,,,,,,,,,,
Category:Mollies,,,,,,,,,,,,,
North America,,,,,,,,,,,,,
Pictus Catfish,,,,,,,,,,,,,
Hole in the Head,,,,,,,,,,,,,
Siamese Fighting Fish (,Betta splendens,"5.1-7.6cm (2-3  "")
",Very Easy,"8 Litres (2   US G.)
","Freshwater  
","6.0 - 7.8
","23.9-27.8°C (75 -82  °F)
","4-10 °d
","1:0 M:F
",Carnivore,"2-7 years
",Asia,"Osphronemidae
"
Bloodworm,,,,,,,,,,,,,
Swordtail (,Xiphophorus hellerii,"10.2-17.8cm (4-7  "")
",Easy,"76 Litres (20   US G.)
","Freshwater  
","7.0 - 8.0
","21.1-25.6°C (70 -78  °F)
","10-15 °d
","1:2 M:F
",Omnivore,"3-5 years
",Central America,"Poeciliidae
"
Category:Cichlids,,,,,,,,,,,,,
Green water,,,,,,,,,,,,,
Gda,,,,,,,,,,,,,
Caudal,,,,,,,,,,,,,
Freshwater algae,,,,,,,,,,,,,
Blue Green Algae,,,,,,,,,,,,,
Zebra Tilapia (,Tilapia buttikoferi,"25-40  cm (9.8-15.7"")
",Moderate,"473 Litres (125   US G.)
","Freshwater  
","6.8 - 7.0
","24 -28  °C (75.2-82.4°F)
","8-10 °d
","1:1 M:F
",Omnivore,"10-15 years
",Africa,"Cichlidae
"
Category:Angel Fish,,,,,,,,,,,,,
Banded Tilapia (,Tilapia sparrmanii,"17.8-22.9cm (7-9  "")
",Very Easy,"114 Litres (30   US G.)
","Freshwater  
","7.5 - 8.2
","22.2-26.7°C (72 -80  °F)
","8-25 °d
","1:1 M:F
",Omnivore,"1-5 years
",Africa,"Cichlidae
"
Ca,,,,,,,,,,,,,
Teaspoon,,,,,,,,,,,,,
GH,,,,,,,,,,,,,
Sailfin Molly (,Poecilia velifera,"12.7-15.2cm (5-6  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","7.5 - 8.2
","25 -28  °C (77-82.4°F)
","8-14 °d
","1:2 M:F
",Omnivore,"3-5 years
",Mexico,"Poeciliidae
"
Discus (,Symphysodon aequifasciatus,"15.2-20.3cm (6-8  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.0 - 7.5
","26 -30  °C (78.8-86°F)
","6-13 °d
","1:1 M:F
",Omnivore,"6-10 years
",South America,"Cichlidae
"
Molly (,Poecilia sphenops,"6-10  cm (2.4-3.9"")
",Very Easy,"57 Litres (15   US G.)
", - ,"7 - 8.2
","18 -28  °C (64.4-82.4°F)
","7-20 °d
","1:2 M:F
",Omnivore,"2-3 years
",Central America,"Poeciliidae
"
Sailfin Molly (,Poecilia velifera,"12.7-15.2cm (5-6  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","7.5 - 8.2
","25 -28  °C (77-82.4°F)
","8-14 °d
","1:2 M:F
",Omnivore,"3-5 years
",Mexico,"Poeciliidae
"
Sailfin Molly (,Poecilia velifera,"12.7-15.2cm (5-6  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","7.5 - 8.2
","25 -28  °C (77-82.4°F)
","8-14 °d
","1:2 M:F
",Omnivore,"3-5 years
",Mexico,"Poeciliidae
"
Cichlids,,,,,,,,,,,,,
GW,,,,,,,,,,,,,
Green Dust Algae,,,,,,,,,,,,,
Platy (,Xiphophorus maculatus,"5.1-6.4cm (2-2.5  "")
",Easy,"45 Litres (12   US G.)
","Freshwater  
","7.0 - 8.0
","22.2-26.7°C (72 -80  °F)
","7-20 °d
","1:3 M:F
",Omnivore,"3-5 years
",Central America,"Poeciliidae
"
Dwarf African Frog (,Hymenochirus boettgeri,"5-6  cm (2-2.4"")
",Easy,"19 Litres (5   US G.)
","Freshwater  
","6.8 - 7.8
","22 -30  °C (71.6-86°F)
","5-12 °d
","1:1 M:F
",Carnivore,"3-10 years
",,
Barbels,,,,,,,,,,,,,
Category:Mollies,,,,,,,,,,,,,
BGA,,,,,,,,,,,,,
Dwarf Oto (,Macrotocinclus affinis,"3.8-5.1cm (1.5-2  "")
",Moderate,"19 Litres (5   US G.)
","Freshwater  
","6.0 - 8.0
","20 -26  °C (68-78.8°F)
","15-20 °d
","1:2 M:F
",Herbivore,"4-5 years
",South America,"Loricariidae
"
Banded Tilapia,,,,,,,,,,,,,
Calcium,,,,,,,,,,,,,
Calcium carbonate,,,,,,,,,,,,,
Mysidacea,,,,,,,,,,,,,
Cardinal Tetra (,Paracheirodon axelrodi,"3.8-5.1cm (1.5-2  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","4.6 - 7.0
","22 -26  °C (71.6-78.8°F)
","0-10 °d
","1:2 M:F
",Omnivore,"3-8 years
",South America,"Characidae
"
Cherry Barb (,Puntius titteya,"3.8-5.1cm (1.5-2  "")
",Easy,"38 Litres (10   US G.)
","Freshwater  
","6.5 - 7.0
","22.2-26.7°C (72 -80  °F)
","6-10 °d
","1:2 M:F
",Omnivore,"5-7 years
",Asia,"Cyprinidae
"
Veiltail Molly,,,,,,,,,,,,,
Yucatan Molly,,,,,,,,,,,,,
Short fin Molly,,,,,,,,,,,,,
Neon Tetra (,Paracheirodon innesi,"2-3.8cm (0.8-1.5  "")
",Easy,"57 Litres (15   US G.)
","Freshwater  
","4.6 - 7.6
","22 -26  °C (71.6-78.8°F)
","4-10 °d
","1:2 M:F
",Omnivore,"3-10 years
",South America,"Characidae
"
African Clawed Frog (,Xenopus laevis,"12.7-20.3cm (5-8  "")
",Easy,"76 Litres (20   US G.)
","Freshwater  
","6.8 - 7.5
","15 -26  °C (59-78.8°F)
","2-12 °d
","1:2 M:F
",Carnivore,"10-20 years
",,
Chytrid fungus,,,,,,,,,,,,,
Altum Angelfish (,Pterophyllum altum,"12.7-17.8cm (5-7  "")
",Challenging,"132 Litres (35   US G.)
","Freshwater  
","4.8 - 6.2
","25 -31  °C (77-87.8°F)
","1-5 °d
","1:1 M:F
",Omnivore,"5-10 years
",South America,"Cichlidae
"
Cyclop-eeze,,,,,,,,,,,,,
Molly,,,,,,,,,,,,,
Amano Shrimp (,Caridina multidentata,"3.8-5.1cm (1.5-2  "")
",Moderate,"19 Litres (5   US G.)
", - ,"6.0 - 7.5
","17.8-27.2°C (64 -81  °F)
","6-10 °d
","1:1 M:F
",Omnivore,"1-3 years
",Asia,
African Clawed Frog (,Xenopus laevis,"12.7-20.3cm (5-8  "")
",Easy,"76 Litres (20   US G.)
","Freshwater  
","6.8 - 7.5
","15 -26  °C (59-78.8°F)
","2-12 °d
","1:2 M:F
",Carnivore,"10-20 years
",,
Barbs,,,,,,,,,,,,,
Wardley Algae Discs,,,,,,,,,,,,,
Chinese Algae Eater (CAE) (,Gyrinocheilus aymonieri,"12.7-27.9cm (5-11  "")
",Easy,"132 Litres (35   US G.)
","Freshwater  
","6.5 - 8.0
","23.9-27.8°C (75 -82  °F)
","5-18 °d
","1:1 M:F
",Omnivore,"2-5 years
",Asia,"Gyrinocheilidae
"
CaCO3,,,,,,,,,,,,,
Cardinal tetra,,,,,,,,,,,,,
Cherry Barb,,,,,,,,,,,,,
Mysis shrimp,,,,,,,,,,,,,
Category:Otocinclus,,,,,,,,,,,,,
Fish Fins ID,,,,,,,,,,,,,
Tiger Barb (,Puntigrus tetrazona,"6.4-7.6cm (2.5-3  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 7.0
","23.3-26.1°C (74 -79  °F)
","5-10 °d
","2:3 M:F
",Omnivore,"5-7 years
",Asia,"Cyprinidae
"
ACF,,,,,,,,,,,,,
Neon Tetra (,Paracheirodon innesi,"2-3.8cm (0.8-1.5  "")
",Easy,"57 Litres (15   US G.)
","Freshwater  
","4.6 - 7.6
","22 -26  °C (71.6-78.8°F)
","4-10 °d
","1:2 M:F
",Omnivore,"3-10 years
",South America,"Characidae
"
Deionised,,,,,,,,,,,,,
Category:Invertebrates (Freshwater),,,,,,,,,,,,,
Reverse Osmosis,,,,,,,,,,,,,
AquaEssentials,,,,,,,,,,,,,
African Clawed Frog,,,,,,,,,,,,,
Practical Fishkeeping,,,,,,,,,,,,,
Chinese algae eater,,,,,,,,,,,,,
Chytrid Fungus,,,,,,,,,,,,,
